2;1;2;1491350400000;1491352200000;CLASS3D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
3;2;3;1365118800000;1365119400000;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
4;1;1;1485882060602;1485882060602;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
5;1;1;1485882060844;1485882060844;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
6;1;1;1485882060191;1485882060191;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
7;1;1;1485882060564;1485882060564;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
8;1;1;1485882060653;1485882060653;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
9;1;1;1486659660228;1486666860228;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
10;1;1;1486659660210;1486666860210;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
11;2017;1;-62133116339231;-62133116339231;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
12;1;1;1485882060923;1485882060923;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
13;1;1;1515730320025;1515730320025;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
14;1;1;1515730320818;1515730320818;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
15;1;1;1510279800925;1510279800925;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
16;1;1;1488391320708;1488398520708;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
17;1;1;1488391320680;1488398520680;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
18;1;1;-62099071079053;-62099063879053;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
19;1;1;-62099071079174;-62099063879174;CLASS3D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
20;1;1;1533056460951;1533063660951;CLASS2D;false;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;OOOOOOO OOOOOOO;
